Year,Species,TAC Area,  Irl. Tonnes  ,  Est. Value of Irl Quota  ,  Est. Value of EU TAC  ,Ireland,Other
2016,NEPHROPS,7,"8,610","52,309,315","141,848,767",0.368768204,0.631231796
2016,MACKEREL,"6, 7, 8.abde, 5.b, 2.a, 12, 14","75,837","44,126,782","208,066,822",0.212079858,0.787920142
2016,HORSE MACK.,"2.a, 4.a, 6, 7.a-c, 7.e-k, 8.abd, 5.b, 12, 14","27,621","15,776,076","61,210,330",0.257735516,0.742264484
2016,BLUE WHITING,"5.b, 6, 7, 12, 14","24,550","9,959,254","84,240,686",0.1182238,0.8817762
2016,MEGRIM,7,"3,021","9,546,406","57,682,921",0.165497964,0.834502036
2016,ANGLERFISH,7,"2,540","8,925,961","117,780,515",0.0757847,0.9242153
2016,HAKE,"5.b, 6, 7, 12, 14","3,415","8,411,424","152,469,690",0.055167844,0.944832156
2016,WHITING,7.b-k,"6,333","7,802,425","25,052,030",0.311448813,0.688551187
2016,ALBACORE TUNA,"Atlantic, N of 5'N","2,585","5,391,291","51,191,446",0.105316248,0.894683752
2016,HERRING,7.ghjk,"13,345","4,988,053","5,771,863",0.864201558,0.135798442
2016,BOARFISH,"6, 7, 8","29,464","3,431,309","4,965,406",0.691042988,0.308957012
2016,HADDOCK,"7, 8, 9, 10","1,613","2,820,346","12,690,684",0.222237509,0.777762491
2016,ANGLERFISH,"5.b, 6, 12, 14",638,"2,242,033","22,402,756",0.100078446,0.899921554
2016,COD,"7.bc,e-k, 8, 9, 10",864,"2,166,452","11,446,588",0.189266181,0.810733819
2016,POLLACK,7,"1,030","2,137,412","28,004,246",0.076324569,0.923675431
2016,MEGRIM,"5.b, 6, 12, 14",675,"2,133,010","16,476,320",0.129459127,0.870540873
2016,SAITHE,"7, 8, 9, 10","1,491","1,888,592","4,022,916",0.469458472,0.530541528
2016,HADDOCK,"5.b, 6.a","1,008","1,762,498","11,298,870",0.155988873,0.844011127
2016,SKATES & RAYS,"6.ab, 7.a-c, 7.e-k","1,048","1,655,934","12,691,283",0.130478061,0.869521939
